Plant State,"Elec Fuel Consumption
MMBtu"
MI,673
MI,"5,365"
MI,"29,517"
MI,"21,363"
MI,"2,373"
MI,0
MI,0
MI,107
MI,38
MI,"504,450"
MI,0
MI,"92,662"
MI,12
MI,"73,222"
MI,0
MN,0
MN,"1,784,276"
MN,0
MN,"301,091"
MN,0
MN,"833,654"
MN,0
MN,"53,654,348"
MN,"152,161"
MN,"40,175"
MN,"110,494"
MN,"3,870"
MN,"103,234"
MN,"745,181"
MN,"22,163"
MN,"7,711"
MN,"33,200"
MN,"1,138,629"
MN,"51,636"
MN,"353,573"
MN,0
MN,"3,684,256"
MN,0
MN,"2,162,166"
MN,"209,990"
MN,"4,776,891"
MN,"8,385,144"
MN,"19,516"
MN,"320,125"
MN,"2,287"
MN,"92,913"
MN,"12,047,608"
MN,"57,934,899"
MN,"49,962,906"
MN,"45,642,543"
MN,"1,042,751"
MN,"1,274,456"
MN,"19,063"
MN,"12,684"
MN,0
MN,0
MN,41
MN,"10,914,333"
MN,911
MN,"877,435"
MN,"1,072,432"
MN,"46,656"
MN,"9,161"
MN,0
MN,0
MN,0
MN,185
MN,255
MN,0
MN,"1,288"
MN,"1,451"
MN,777
MN,0
MN,0
MN,"1,086"
MN,0
MN,295
MN,278
MN,"240,343"
MN,0
MN,36
MN,"1,324"
MN,"111,584"
MN,"1,159"
MN,0
MN,"2,227"
MN,"2,851"
MN,0
MN,0
MN,0
MN,"224,550"
MN,"10,512"
MN,"92,796"
MN,0
MN,"237,934"
MN,"1,398"
MN,245
MN,210
MN,17
MN,0
MN,"1,057"
MN,222
MN,"4,354"
MN,547
MN,725
MN,0
MN,"1,346"
MN,812
MN,0
MN,411
MN,141
MN,"2,697"
MN,188
MN,290
MN,"1,921"
MN,"10,433"
MN,"2,205"
MN,"6,603"
MN,"5,972"
MN,"11,694"
MN,"2,352"
MN,0
MN,0
MN,5
MN,341
MN,"2,508"
MN,"4,504"
MN,0
MN,"35,909"
MN,0
MN,916
MN,"1,963"
MN,703
MN,389
MN,993
MN,183
MN,"7,596"
MN,89
MN,159
MN,0
MN,"69,449"
MN,"258,745"
MN,0
MN,635
MN,"2,000"
MN,126
MN,0
MN,0
MN,"25,402"
MN,0
MN,250
MN,770
MN,"32,384"
MN,"13,601"
MN,"365,278"
MN,"22,640"
MN,"425,040"
MN,"10,454"
MS,0
MS,0
MS,"11,601,482"
MS,"13,133"
MS,"43,171"
MS,"27,768,675"
MS,"3,150"
MS,"3,444,657"
MS,0
MS,0
MS,0
MS,0
MS,755
MS,0
MS,"1,350"
MS,0
MS,0
MS,0
MS,0
MS,0
MS,"574,684"
MS,"895,710"
MS,"8,201,833"
MS,0
MS,"1,534,232"
MS,"244,981"
MS,0
MO,"15,452"
MO,"1,885,696"
MO,"1,414,381"
MO,"696,033"
MO,"32,956,559"
MO,"427,360"
MO,0
MO,"24,269"
MO,"28,112"
MO,"586,318"
MO,"15,484"
MO,"113,814"
MO,"1,723"
MO,"134,414"
MO,0
MO,"82,603"
MO,0
MO,"8,911"
MO,"199,910"
MO,0
MO,"176,604,566"
MO,0
MO,0
MO,"1,908,694"
MO,0
MO,"1,242,950"
MO,"1,847,964"
MO,"8,732,611"
MO,"63,286"
MO,0
MO,"28,531,811"
MO,0
MO,596
MO,0
MO,0
MO,0
MO,"6,508"
MO,"16,664"
MO,"41,355"
MO,"131,813"
MO,941
MO,0
MO,"13,414"
MO,78
MO,"188,105"
MO,0
MO,0
MO,"32,296"
MO,"254,147"
MO,0
MO,"23,470"
MO,0
MO,0
MO,0
MO,0
MO,"215,010"
MO,444
MO,0
MO,"47,924"
MO,145
MO,"56,646"
MO,"71,351"
MO,"6,399"
MO,"1,237"
MO,12
MO,0
